timestamp,bch_supply,bch_usd,bch_vol,btc_supply,btc_usd,btc_vol,eth_supply,eth_usd,eth_vol
1537534077.138,17360500.0,483.903406315,488394597.538967,17279775.0,6731.81990058,5564351769.60982,102095322.0,226.835931329,2253021856.6683
1537534137.138,17360500.0,483.842664625,488211482.408162,17279775.0,6736.34277269,5566596264.49429,102095322.0,226.652351905,2252257911.56051
1537534197.138,17360500.0,483.842664625,488211482.408162,17279775.0,6736.34277269,5566596264.49429,102095322.0,226.652351905,2252257911.56051
1537534257.138,17360500.0,483.842664625,488211482.408162,17279775.0,6736.34277269,5566596264.49429,102095322.0,226.652351905,2252257911.56051
1537534317.138,17360500.0,484.350642572,488629230.238318,17279775.0,6734.65669584,5565905689.22832,102095322.0,226.830588057,2254428096.90365
1537534377.138,17360500.0,484.350642572,488629230.238318,17279775.0,6734.65669584,5565905689.22832,102095322.0,226.830588057,2254428096.90365
1537534437.138,17360500.0,484.350642572,488629230.238318,17279775.0,6734.65669584,5565905689.22832,102095322.0,226.830588057,2254428096.90365
1537534497.138,17360500.0,483.264567631,487918708.425844,17279775.0,6738.26862404,5571362532.20854,102095322.0,226.445939936,2253234121.32488
1537534557.138,17360500.0,483.264567631,487918708.425844,17279775.0,6738.26862404,5571362532.20854,102095322.0,226.445939936,2253234121.32488
1537534617.138,17360500.0,483.264567631,487918708.425844,17279775.0,6738.26862404,5571362532.20854,102095322.0,226.445939936,2253234121.32488
1537534677.138,17360500.0,483.774045801,487928033.394148,17279775.0,6738.81609771,5574551753.57378,102095322.0,226.739927019,2254658277.28814
1537534737.138,17360500.0,483.774045801,487928033.394148,17279775.0,6738.81609771,5574551753.57378,102095322.0,226.739927019,2254658277.28814
1537534797.138,17360500.0,483.774045801,487928033.394148,17279775.0,6738.81609771,5574551753.57378,102095322.0,226.739927019,2254658277.28814
1537534857.138,17360575.0,484.809056292,488671815.266447,17279787.0,6742.6458111,5576468987.43797,102095631.0,227.131017192,2256653599.044
